Season,Team,G,Age,W,L,PW,PL,Pace,FTr,3PAr,OFF_eFG%,DEF_eFG%,OFF_TOV%,DEF_TOV%,ORB%,DRB%,OFF_FT/FGA,DEF_FT/FGA,pyth_diff
2017,Chicago Bulls,82,26.9,41,41.0,42,40,95.3,0.259,0.256,0.487,0.507,12.3,12.4,27.0,76.8,0.206,0.169,-1
2017,Sacramento Kings,82,27.9,32,50.0,31,51,94.9,0.284,0.291,0.516,0.528,13.7,12.9,21.0,76.3,0.22,0.227,1
2017,Philadelphia 76ers,82,24.6,28,54.0,26,56,98.5,0.258,0.349,0.501,0.512,14.9,13.5,22.4,75.3,0.199,0.234,2
2017,Detroit Pistons,82,25.4,37,45.0,38,44,95.0,0.218,0.263,0.492,0.516,10.9,12.1,24.1,81.2,0.157,0.197,-1
2017,Orlando Magic,82,25.3,29,53.0,24,58,96.8,0.246,0.3,0.489,0.523,12.1,11.9,21.6,77.4,0.184,0.201,5
2017,Utah Jazz,82,26.8,51,31.0,52,30,91.6,0.288,0.327,0.526,0.493,13.2,11.8,23.2,78.9,0.215,0.195,-1
2017,Memphis Grizzlies,82,29.5,43,39.0,42,40,92.3,0.28,0.316,0.491,0.506,12.1,13.6,24.8,77.5,0.219,0.256,1
2017,Dallas Mavericks,82,27.6,33,49.0,33,49,92.2,0.225,0.366,0.505,0.529,11.6,14.4,18.1,77.6,0.18,0.218,0
2018,Golden State Warriors,82,28.8,58,24.0,56,26,99.6,0.239,0.339,0.569,0.504,14.1,12.6,21.0,76.3,0.195,0.186,2
2018,Houston Rockets,82,29.8,65,17.0,61,21,97.6,0.298,0.502,0.551,0.521,12.7,13.4,21.3,79.9,0.233,0.171,4
2018,New Orleans Pelicans,82,27.6,48,34.0,44,38,100.5,0.237,0.319,0.541,0.513,13.3,12.5,20.0,76.7,0.183,0.175,4
2018,Toronto Raptors,82,25.8,59,23.0,60,22,97.4,0.25,0.377,0.539,0.501,12.1,13.0,23.0,77.7,0.198,0.212,-1
2018,Cleveland Cavaliers,82,30.6,50,32.0,43,39,98.0,0.275,0.379,0.547,0.54,12.6,12.2,20.1,77.3,0.214,0.166,7
2018,Denver Nuggets,82,25.1,46,36.0,45,37,96.8,0.258,0.357,0.536,0.539,13.4,12.6,25.7,77.5,0.198,0.173,1
2018,Philadelphia 76ers,82,25.8,52,30.0,53,29,99.8,0.263,0.344,0.535,0.492,14.6,12.6,25.3,78.6,0.198,0.218,-1
2018,Minnesota Timberwolves,82,27.1,47,35.0,47,35,96.0,0.28,0.261,0.523,0.539,11.4,13.9,24.4,76.4,0.225,0.189,0
2018,Los Angeles Clippers,82,27.0,42,40.0,41,41,98.7,0.299,0.314,0.527,0.52,13.2,12.6,23.5,76.1,0.222,0.203,1
2018,Charlotte Hornets,82,26.6,36,46.0,42,40,98.4,0.312,0.314,0.508,0.532,11.4,12.4,22.2,80.7,0.233,0.165,-6
2018,Los Angeles Lakers,82,23.7,35,47.0,37,45,100.3,0.264,0.329,0.517,0.514,13.8,12.5,23.6,77.7,0.188,0.19,-2
2018,Oklahoma City Thunder,82,27.3,48,34.0,50,32,96.7,0.275,0.345,0.514,0.525,12.4,14.7,27.7,77.4,0.197,0.193,-2
2018,Washington Wizards,82,26.9,43,39.0,43,39,96.6,0.254,0.31,0.525,0.522,13.3,13.6,23.5,77.1,0.196,0.212,0
2018,Brooklyn Nets,82,25.1,28,54.0,31,51,98.9,0.26,0.411,0.514,0.517,13.6,11.0,21.0,77.0,0.201,0.201,-3
2018,Milwaukee Bucks,82,25.9,44,38.0,40,42,96.3,0.281,0.297,0.531,0.528,12.9,14.2,20.4,75.9,0.22,0.22,4
2018,Indiana Pacers,82,26.2,48,34.0,45,37,96.0,0.222,0.284,0.525,0.527,12.3,14.2,22.7,76.2,0.173,0.174,3
2018,Portland Trail Blazers,82,25.6,49,33.0,48,34,96.5,0.24,0.324,0.511,0.503,12.3,11.7,23.3,79.1,0.192,0.193,1
2018,New York Knicks,82,26.3,29,53.0,32,50,96.8,0.216,0.266,0.51,0.522,13.3,12.1,24.1,76.7,0.17,0.208,-3
2018,Utah Jazz,82,26.7,48,34.0,53,29,95.7,0.26,0.357,0.527,0.506,13.7,14.0,21.5,79.8,0.202,0.19,-5
2018,Boston Celtics,82,24.7,55,27.0,51,31,96.0,0.243,0.357,0.518,0.495,12.9,13.0,21.5,78.4,0.188,0.191,4
2018,Phoenix Suns,82,23.7,21,61.0,19,63,100.3,0.275,0.32,0.495,0.533,13.9,11.9,22.5,76.5,0.203,0.212,2
2018,Detroit Pistons,82,25.9,39,43.0,41,41,96.2,0.227,0.333,0.512,0.524,12.3,13.7,22.7,78.5,0.169,0.172,-2
2018,Miami Heat,82,26.5,44,38.0,42,40,95.6,0.229,0.358,0.52,0.507,13.3,13.1,21.5,79.0,0.173,0.215,2
2018,Orlando Magic,82,25.6,25,57.0,28,54,98.1,0.238,0.342,0.512,0.525,13.3,12.8,20.0,75.6,0.18,0.187,-3
2018,Atlanta Hawks,82,25.4,24,58.0,27,55,98.3,0.236,0.363,0.512,0.536,14.1,13.6,21.1,76.2,0.185,0.183,-3
2018,Chicago Bulls,82,24.4,27,55.0,23,59,98.3,0.216,0.35,0.497,0.542,12.6,12.4,20.6,80.6,0.164,0.184,4
2018,San Antonio Spurs,82,29.3,47,35.0,49,33,95.0,0.245,0.282,0.507,0.507,12.2,13.2,23.7,78.6,0.189,0.17,-2
2018,Dallas Mavericks,82,27.7,24,58.0,33,49,95.6,0.217,0.382,0.513,0.532,11.5,12.8,18.0,78.9,0.166,0.193,-9
2018,Memphis Grizzlies,82,26.0,22,60.0,25,57,94.9,0.255,0.317,0.5,0.529,14.0,13.8,22.4,76.5,0.201,0.256,-3
2018,Sacramento Kings,82,26.4,27,55.0,23,59,94.9,0.194,0.278,0.502,0.542,12.8,13.5,21.5,77.6,0.143,0.199,4
2019,Milwaukee Bucks,82,26.9,60,22.0,61,21,103.3,0.255,0.419,0.55,0.503,12.0,11.5,20.8,80.3,0.197,0.162,-1
2019,Golden State Warriors,82,28.4,57,25.0,56,26,100.9,0.227,0.384,0.565,0.508,12.6,11.7,22.5,77.1,0.182,0.205,1
2019,New Orleans Pelicans,82,25.7,33,49.0,38,44,103.3,0.254,0.324,0.529,0.532,12.6,11.6,24.1,76.8,0.193,0.193,-5
2019,Philadelphia 76ers,82,26.4,51,31.0,48,34,101.6,0.312,0.342,0.532,0.512,12.9,11.1,24.5,78.6,0.241,0.206,3
2019,Los Angeles Clippers,82,27.2,48,34.0,43,39,101.7,0.326,0.295,0.529,0.514,12.7,11.4,22.0,76.0,0.258,0.224,5
2019,Portland Trail Blazers,82,26.2,53,29.0,51,31,99.1,0.258,0.339,0.528,0.516,12.1,11.0,26.6,77.9,0.21,0.195,2
2019,Oklahoma City Thunder,82,25.7,49,33.0,50,32,102.8,0.266,0.347,0.514,0.523,11.7,14.4,26.0,78.2,0.19,0.206,-1
2019,Toronto Raptors,82,27.3,58,24.0,56,26,100.2,0.247,0.379,0.543,0.509,12.4,13.1,21.9,77.1,0.198,0.19,2
2019,Sacramento Kings,82,24.8,39,43.0,38,44,103.1,0.244,0.321,0.524,0.533,11.5,13.6,23.1,75.5,0.177,0.207,1
2019,Washington Wizards,82,26.5,32,50.0,34,48,101.4,0.266,0.37,0.531,0.546,12.3,13.5,21.3,74.1,0.204,0.199,-2
2019,Houston Rockets,82,29.2,53,29.0,53,29,97.9,0.279,0.519,0.542,0.525,12.0,13.4,22.8,74.4,0.221,0.21,0
2019,Atlanta Hawks,82,25.1,29,53.0,27,55,103.9,0.255,0.403,0.522,0.541,14.3,12.8,24.7,76.4,0.192,0.237,2
2019,Minnesota Timberwolves,82,26.2,36,46.0,37,45,100.2,0.267,0.315,0.511,0.538,11.4,12.9,24.6,74.9,0.21,0.19,-1
2019,Boston Celtics,82,25.7,49,33.0,52,30,99.6,0.215,0.381,0.534,0.514,11.5,13.4,21.6,77.0,0.173,0.198,-3
2019,Brooklyn Nets,82,25.4,42,40.0,41,41,100.8,0.284,0.403,0.52,0.512,13.0,11.6,23.8,76.4,0.211,0.19,1
2019,Los Angeles Lakers,82,26.2,37,45.0,37,45,103.2,0.257,0.342,0.527,0.516,13.4,12.2,22.2,76.4,0.18,0.192,0
2019,San Antonio Spurs,82,28.8,48,34.0,45,37,98.3,0.237,0.286,0.534,0.528,11.0,11.0,21.0,79.4,0.194,0.17,3
2019,Utah Jazz,82,27.3,50,32.0,54,28,100.3,0.295,0.394,0.538,0.507,13.4,12.4,22.9,80.3,0.217,0.189,-4
2019,Denver Nuggets,82,24.9,54,28.0,51,31,97.7,0.232,0.348,0.527,0.521,11.9,12.3,26.6,78.0,0.175,0.194,3
2019,Charlotte Hornets,82,26.6,39,43.0,38,44,98.7,0.257,0.378,0.514,0.538,10.9,12.1,21.7,77.1,0.205,0.179,1
2019,Dallas Mavericks,82,26.9,33,49.0,38,44,99.0,0.291,0.422,0.519,0.522,12.7,11.6,22.7,77.5,0.216,0.191,-5
2019,Indiana Pacers,82,27.0,48,34.0,50,32,98.1,0.242,0.292,0.53,0.516,12.4,14.1,21.9,76.2,0.182,0.184,-2
2019,Phoenix Suns,82,24.0,19,63.0,19,63,100.5,0.259,0.335,0.514,0.545,13.8,13.5,20.5,72.5,0.202,0.236,0
2019,Orlando Magic,82,25.7,42,40.0,43,39,98.1,0.216,0.36,0.518,0.515,11.9,11.8,22.0,79.7,0.168,0.186,-1
2019,Detroit Pistons,82,26.9,41,41.0,40,42,97.4,0.262,0.394,0.509,0.526,12.3,12.8,24.8,78.7,0.195,0.211,1
